"english","tulu"
"For example  consider the chromium component.","ಉಂದು ಕ್ರೋಮಿಯಂ ಅಂಶೊಡ್ದ್ ಪಚ್ಚೆ ಬಣ್ಣೊಡು ಇಪ್ಪುಂಡು"
"In the initial phase of the construction of huts  the huts may have been damaged due to structural failure  which may have affected the technological capabilities of the people of some places.","ಹುಲಿ ಸಂರಕ್ಷಣೆಯ ಪ್ರಾರಂಭಿಕ ಪ್ರಯತ್ನದಲ್ಲಿನ ಸಂರಕ್ಷಣಾಪರ ಧೋರಣೆಯಿಂದ ಕೆಲವೊಮ್ಮೆ ಸ್ಥಳೀಯ ಜನರ ತಾತ್ಕಾಲಿಕ ಆಸಕ್ತಿಗಳಿಗೆ ಧಕ್ಕೆಯೊದಗಿರಬಹುದಾದರೂ ಹುಲಿಗಳೂ ಸೇರಿದಂತೆ ಸಕಲ ವನ್ಯಜೀವಿ ಸಂಕುಲವೇ ಈ ಕ್ರಮಗಳಿಂದ ಪ್ರಯೋಜನ ಪಡೆಯುವಂತಾಯಿತೆಂಬುದು ಸತ್ಯ"
"For example  the centre in Kannur district is Jogaila.","ಉಂದು ಕಣ್ಣೂರ್ ಜಿಲ್ಲೆದ ಕೇಂದ್ರ ಜಾಗೆಲಾ ಅಂದ್"
"In August  the left-handed Donnie Arne Noppugad became the first Indian to win an Olympic medal.","ಆಗಸ್ಟ್ ೬  ೧೯೧೭ ದಾನಿ ಆರೆನ ನೆಂಪುಗಾದ್ ಇಂಡಿಯಾ ಅಂಚೆ ಒಂಜಿ ಅಂಚೆ ಚೀಟಿ ಬುಡುಗಡೆ ಮಲ್ತ್ಂಡ್"
"Right Best Carbohydrate Health","ಅರಿಟ್ ಪಿಷ್ಟ ಕಾರ್ಬೊಹೈಡ್ರೇಟ್ ಜಾಸ್ತಿ"
"For example  here is the first and last one.","ಉಂದು ಇಂಗ್ಲಿಸ್‍ದ ಪದೊ ಎಡ್ದ್ ಬತ್ತ್ಂಡ್"
"Mr. Yatoo  Left Front Minister for Doombu Sarige","ದುಂಬು ಸಾರಿಗೆ ಮಂತ್ರಿ ಯಾತ್  ಬುಕ್ಕ ೧೯೬೧ಟ್ ಗೃಹ ಮಂತ್ರಿಯಾತೆರ್"
"Hon 'ble Bookkeeper said that every time a particular question is asked to the society  the person who gives the card will be called a tailor.","ಶ್ರೀಮಂತ ಬುಕ್ಕೊ ಸಂಪ್ರದಾಯಸ್ಥೆರ್ ಉಂದು ಪ್ರತಿಷ್ಟೆದ ಪ್ರಶ್ನೆ  ಉಂತಾಂಡ ಸಮಾಜೊಗು ಕೇಡ್ ಉಂಡಾಪುಂಡು ಪನ್ಪುನ ವಾದೊನು ದುಂಬು ದೀಯೆರ್ ಅವು ಒಯಿನ್‍ಲಾ ಗುರುಕುಲು ಕೇನಂದೆ ಅರೆನ ಹೋರಾಟೊನು ದುಂಬುವರಿಸಾಯೆರ್"
"Here's a look at the top 10 most successful people in the world in 2019.","ಅರೆನ್ ನನೊಂಜಿ ಸರ್ತಿ ಆಡಿಷನ್ ಮಲ್ತೆರ್ ಬೊಕ್ಕ 2019 ಡ್ ಪ್ರಿಯಾದರ್ಶಿ ಸಹ-ನಟನೆ ಮಲ್ತಿನ ಮಲ್ಲೇಶಂ ಜೀವನ ಚರಿತ್ರೆದ ಚಿತ್ರೊಗು ಆಯ್ಕೆ ಮಲ್ತೆರ್"
"Take me to someone else's house.","ತಗ್ಗೆ ನೆರೆನು ಯೆರವೊಂದು ಬನ್ನಾಗ  ಅವುಲೊಂಜಿ ಸುದ್ದಿ ಕೆಂಡೆರ್"
"For example  for a small empire  there is no such thing as an eight-seater aircraft carrier or a multi-purpose aircraft.","ಸಾವಿರಾರು ವರ್ಷೊಡ್ದಿಂಚಿ  ಚೀನೀ ಸಾಮ್ರಾಜ್ಯಶಾಹಿಲು  ಶ್ರೀಮಂತೆರ್  ರೈತೆರ್  ಬೊಕ್ಕ ವ್ಯಾಪಾರಿಲು ಒಟ್ಟು ಸೇರ್ದ್ ಸೈತಿನಕ್ಲೆನ ಜೀವನೊನು ನೆಂಪು ಮಲ್ಪುವೆರ್  ಅಕ್ಲೆನ ಸಮಾಧಿ ಕಲ್ಲ್ ಲೆಗ್ ಭೇಟಿ ಕೊರ್ದು ಕನ್ಫ್ಯೂಷಿಯನ್ ಧರ್ಮನಿಷ್ಠೆನ್ ಸಮಾಧಿ ಸ್ವೀಪಿಂಗ್ ಮಲ್ಪುನ ಮೂಲಕ ಮಲ್ಪುವೆರ್  ಸಮಾಧಿ ಮೈದಾನೊಲೆಗ್ ಭೇಟಿ ಕೊರ್ಪೆರ್  ಸ್ಮಶಾನೊಲೆಗ್ ಅತ್ತಂಡ ಆಧುನಿಕ ನಗರ ನಗರೊಲೆಡ್  ನಗರೊದ ಕೋಲಂಬರಿಲೆನ್ ಭೇಟಿ ಕೊರ್ಪೆರ್  ಸಮಾಧಿ ಮೈದಾನೊಲೆನ್ ಮಲ್ಪುವೆರ್ ಬೊಕ್ಕ ನಿರ್ವಹಣೆ ಮಲ್ಪೆರೆ ಮರಣೊದ ನಂತರದ ಜೀವನದ ಅನನ್ಯವಾದ್ ಚೀನೀ ಪರಿಕಲ್ಪನೆಡ್ ಅಕ್ಲೆನ ಪಿರಾಕ್ದಕುಲು ಬೊಕ್ಕ ಅಕ್ಲೆನ ಪಿರಾಕ್ದಕ್ಲೆನ ನೆಂಪುಲೆನ್ ಜೀವಂತ ರಕ್ತದ ಸಂಬಂಧಿಲೆಗ್  ಅಕ್ಲೆನ ಕಿತ್ ಬೊಕ್ಕ ಕಿನ್ ಗ್ ಕೊರ್ಪುನವು"
"Leslie Epstein  director of creative work at Boston University  received a second fellowship the following year.","ಬೋಸ್ಟನ್ ವಿಶ್ವವಿದ್ಯಾಲಯೊಡು ಸೃಜನಶೀಲ ಬರವುದ ಕಾರ್ಯಕ್ರಮೊದ ನಿರ್ದೇಶಕೆರ್ ಆಯಿನ ಲೆಸ್ಲಿ ಎಪ್ಸ್ಟೀನ್ ಒಂಜಿ ಅಪವಾದೊನು ಮಲ್ತೆರ್  ಉಂದೆನ್ ತೂದು ಮುಂದಿನ ವರ್ಷ ಫೆಲೋಶಿಪ್ ದ ಒಟ್ಟುಗು ಕಾರ್ಯಕ್ರಮೊಗು ಔಪಚಾರಿಕವಾದ್ ಅರ್ಜಿ ಸಲ್ಲಿಸೊಡಾಪುಂಡು"
"And then what is the specific function / s of this porter Porter Dyer  how much is the function of the 32nd subset Deterministrator Federation?","ಅತಂಡ ‘ದಕ್ಷಿಣ ಏಷ್ಯಾದ ಕ್ರೀಡೆಳು /ಆಟಳು’  ಈ ಪುದರ್‌ನ್ ಪಿರ ಪುದರ್ ದೀಯೆರೆ ದಕ್ಷಿಣ ಏಷ್ಯಾ ಕ್ರೀಡಾ ಕೌನ್ಸಿಲ್ಡ್  32 ನೇ ಸಭೆಟ್ ನಿರ್ಧರಿಸಾಯೆರ್ ಫೆಡರೇಷನ್ ಪದ ಕ್ರಿಯೆನ್ ಎಲ್ಯೆ ಆದ್ ತೋಜಾವುನೆ ಪಂದ್ ಭಾವಿಸಿಯೆರ್"
"Some of the work done by the Toolkit station ( which is also called ToolKit ) is not more than an inch in length as compared to the one done at the end of the day.","ತುಳುನಾಡ್ದ ಸ್ಥಳನಾಮೊಲೆಡು (ಅಂಚನೆ ಕನ್ನಡದ ಊರುಲೆಡ್) ಬರ್ಪುನ ಕೆಲವು ಸಾಮಾನ್ಯ ಅಂತ್ಯ ಪ್ರತ್ಯಯ ಪದೊಕ್ಕುಲು ಬುಕ್ಕೊ ಆ ಪುದರುಲೆನ ಊರುಲೆನ ಪಟ್ಟಿ ಇಂಚ ಉಲ್ಲೊ"
"For example  in the book Troms d 'Altévatnet  Nord-Trondelag d 'Aschen.","ವಾಟ್ನ್ ನ್ ಉತ್ತರೊಡು ಮಲ್ಲ ಕೆರೆಕುಲೆಗ್ ಲಾ ಬಳಕೆ ಮಲ್ಪೊಲಿ  ಉದಾಹರಣೆಗೆ ಟ್ರೊಮ್ಸ್ ಡ್ ಆಲ್ಟೆವಾಟ್ನೆಟ್ ಬುಕ್ಕೊ ನಾರ್ಡ್-ಟ್ರೊಂಡೆಲಾಗ್ ಡ್ ಸ್ನೆಶಾವ್ನ್"
"Because of the URLs attached to the spam package  bots are no longer able to communicate with each other.","ಸ್ಪ್ಯಾಮ್ ಕಪ್ಪುಪಟ್ಟಿ ಗೆ ಹೊಂದಿಕೆಯಾಗುವ URL ಗಳ ಕಾರಣದಿಂದ ಬಾಟ್‌ಗಳನ್ನು ಇನ್ನು ಮುಂದೆ ಸಂಪಾದನೆ ಮಾಡುವುದನ್ನು ತಡೆಯಲಾಗುವುದಿಲ್ಲ"
"The combustion lamp has a curl-like shape and is made of corrugated iron.","ಬೈರರಸನ ಲೆಪ್ಪುಗು ಕಾರ್ಲಗ್ ಬತ್ತ್ ದ್ ಕಾರ್ಲಡ್ ಗೊಮ್ಮಟನ್ ನಿರ್ಮಾಣ ಮಲ್ಪುವೆ"
"Shaleg bodei tulo bukullen tuloo pramukhtukollen akademi korpundu and kalpaunnakale tulabettu academi are established.","ಶಾಲೆಲೆಗ್ ಬೋಡಾಯಿ ತುಳು ಬೂಕುಲೆನ್  ತುಳು ಪಠ್ಯ ಪುಸ್ತಕೊಲೆನ್ ಅಕಾಡೆಮಿ ಕೊರ್ಪುಂಡು ಅತ್ತಂದ ಕಲ್ಪಾವುನಕಲೆಗ್ ತರಬೇತಿ ಸಹಾಯೊಲೆನ್ ಅಕಾಡೆಮಿ ಮಲ್ಪುಂಡು"
"The dodgy button is the only service that has a new door.","ದುಡಿ ಬೊಟ್ಟುನವು ಒಂಜಿ ಸೇವೆಂದ್ ಅಕುಲು ನಂಬೊಂದು ಬತ್ತ್‌ದೆರ್"
"The last selected word is not the same as the last word.","ಮುಲ್ತ ಆಡಲಿತ ಬಾಸೆ ಕೊಂಕಣಿ"
"Now let us take the first step.","ಈಗಲ್ ಐ ಪಬ್ಲಿಷಿಂಗ್ ನ್ ಸ್ವಾಧೀನ ಮಲ್ತ್ಂಡ್"
"Tell me what is this thing that you have bought for someone else.","ಈ ಗೊಬ್ಬುನು ಏತ್ ಜನಲಾ ಒಟ್ಟಿಗೆ ಗೊಬ್ಬೊಲಿ"
"This tank is a unique structure of the European World Bank and is owned and operated by Yashaswi National Tanks Limited.","ಈ ತಂಡ ಮಾಜಿ ಯುರೋಪಿಯನ್  ವಿಶ್ವ ಬುಕ್ಕೊ ಒಲಿಂಪಿಕ್ ಚಾಂಪಿಯನ್ ಆದುಂಡು ಅಂಚಾದ್ ಬಾರೀ ಯಶಸ್ವಿ ರಾಷ್ಟ್ರೀಯ ತಂಡೊಲೆಡ್ ಒಂಜಿ"
"When you are not on the road  you have to carry a heavy load of cash along with you.","ಬಡಗ ಮಾತ್ರವಲ್ಲದೆ ಕನ್ನಡದೊಂದಿಗೆ ನಿಕಟ ಸಾಮ್ಯವನ್ನು ಹೊಂದಿರುವಂಥ ಬಾಸೆಗಳಾಗಿವೆ ಹೊಲಿಯ ಮತ್ತು ಉರಾಳಿ"
"It will be possible for their organizations to engage them in meaningful discussions and encourage them to contribute more to the community.","ಅವರ ಸಂಪಾದನೆಗಳಿಗೆ ಅವರಿಗೆ ಧನ್ಯವಾದ ಹೇಳಲು  ಚರ್ಚೆಗಳಲ್ಲಿ ಅವರನ್ನು ಪಿಂಗ್ ಮಾಡಲು ಮತ್ತು ಸಮುದಾಯದಲ್ಲಿ ಹೆಚ್ಚು ತೊಡಗಿಸಿಕೊಳ್ಳಲು ಅವರನ್ನು ಆಹ್ವಾನಿಸಲು ಸಹ ಸಾಧ್ಯವಾಗುತ್ತದೆ"
"And this is a very popular product with a wide variety of internal and external components.","ಆಂಡಾ  ಈ ಜಲಭರ ರಚನೆಡ್ ಉಪ್ಪುನ ಅಂತರ್ಜಲ ಸಂಗ್ರಹ ಸಾಮಾನ್ಯವಾದ್ ನಿರ್ಜಲ ಪದರೊನು ದಾಂಟ್ ದ್ ಅಯಿತ ತಿರ್ತ್ ದ ವಲಯೊಗು ಪೋಪುಜಿ"
